apogee_id,telescope,field,teff,logg,fe_h
2M13012053+5702552,apo25m,120+60,4635.089,2.689199,0.13098
2M11442819-1406422,lco25m,280+45,6094.031,4.104633,-0.13669
2M12390071+1351599,apo25m,290+76_btx,4626.128,2.358016,-0.076987
2M07585307+2606007,apo25m,194+26_MGA,4122.257,1.27512,-0.51417
2M21304325+1220130,apo25m,M15,4102.282,1.111597,-0.76931
2M21304325+1220130,apo25m,M15,4106.449,1.146899,-0.77292
2M00242356+5520448,apo25m,120-08-RV,4145.284,1.759072,0.066946
2M00242356+5520448,apo25m,120-08-RV,4149.73,1.773035,0.059877
2M04422449-7129451,lco25m,LMC22,6213.229,4.030289,-0.029005
2M04422449-7129451,lco25m,LMC22,6172.014,4.133956,-0.07102
2M11185327-1146063,apo25m,269+44_btx,6184.338,4.052078,0.17752
2M14593462+2209125,apo25m,030+60,6152.48,3.959617,0.036093
2M05390552-0553511,apo25m,ORIONA-RV_btx,6314.464,4.224754,-0.018866
2M05390552-0553511,apo25m,ORIONA-RV_btx,6357.594,4.311041,0.010575
2M05390552-0553511,apo25m,ORIONA-RV_btx,6398.368,4.214809,0.02168
2M06364771+3540574,apo25m,180+12,3918.423,1.012042,-0.28165
2M06554783-0502092,apo25m,COROTA2-RV,4599.072,2.147515,-0.115
2M06554783-0502092,apo25m,COROTA2-RV,4609.095,2.176192,-0.11406
2M18141950-4309154,lco25m,350-12,6527.897,4.169544,0.079337
2M00282673+5602490,apo25m,120-08-RV,4384.048,1.998915,-0.14536
2M00282673+5602490,apo25m,120-08-RV,4378.947,1.998668,-0.13398
2M05112252-6249023,lco25m,LMC7,6153.89,3.896631,-0.063617
2M05112252-6249023,lco25m,LMC7,6135.996,3.801897,-0.02872
2M05164313+2307495,apo25m,180-08-RV,5014.16,2.747098,-0.0084283
2M05164313+2307495,apo25m,180-08-RV,4993.933,2.682458,-0.024875
2M00313991+5345591,apo25m,120-08-RV,4783.325,2.459199,-0.083255
2M00313991+5345591,apo25m,120-08-RV,4787.83,2.466996,-0.076334
2M08032795+2750439,apo25m,194+26_MGA,4580.69,1.949648,-0.41869
2M08032795+2750439,apo25m,194+26_MGA,4586.94,1.886832,-0.41559
2M01253595+8531372,apo25m,N188-RV,4464.012,1.963033,-0.18481
2M01253595+8531372,apo25m,N188-RV,4459.247,1.949113,-0.17334
2M01253595+8531372,apo25m,N188-RV,4462.707,1.928392,-0.19065
2M03314786-7706006,lco25m,293-37-C,4777.608,2.409627,-0.29381
2M03260338+4545080,apo25m,150-08-RV,4435.578,1.834143,-0.27911
2M03260338+4545080,apo25m,150-08-RV,4431.651,1.825546,-0.27242
2M06482507-0426272,apo25m,COROTA2-RV,4564.572,2.057403,-0.24379
2M06482507-0426272,apo25m,COROTA2-RV,4555.695,2.165432,-0.25388
2M00293676+5544006,apo25m,120-08-RV,3882.243,0.817671,-0.52544
2M00293676+5544006,apo25m,120-08-RV,3874.486,0.8081192,-0.5132
2M00293676+5544006,apo25m,120-08-RV,3902.921,0.8467187,-0.54284
2M00291684+5504140,apo25m,120-08-RV,4267.328,1.716545,-0.32571
2M00291684+5504140,apo25m,120-08-RV,4263.949,1.664677,-0.321
2M06500574-0443443,apo25m,COROTA2-RV,4712.331,2.278672,-0.20935
2M06500574-0443443,apo25m,COROTA2-RV,4725.301,2.305485,-0.19295
2M01101654+8626407,apo25m,N188-RV,4682.353,2.364383,-0.3012
2M01101654+8626407,apo25m,N188-RV,4682.691,2.37958,-0.31538
2M15041347+3640585,apo25m,060+60,6037.425,4.046772,-0.28572
2M15041347+3640585,apo25m,060+60,6031.003,4.051069,-0.25917
2M15585070+2639475,apo25m,043+49_btx,5035.229,2.997753,-0.078091
2M15585070+2639475,apo25m,043+49_btx,5051.031,2.967065,-0.066651
