sobject_id,apogee_id,match_key,match_method
161006004401390,2M00492861+0201093,00492861+0201093,2mass
171230002601312,2M05135324-5934282,05135324-5934282,2mass
170603007701177,2M22065991-1058379,22065991-1058379,2mass
210916001601171,2M18021986-4718349,18021986-4718349,2mass
161217003101106,2M04315212-6322429,04315212-6322429,2mass
170112003601061,2M07094423-6321436,07094423-6321436,2mass
201006002101348,2M23031470-0542025,23031470-0542025,2mass
170112002601138,2M06365618-6035403,06365618-6035403,2mass
170113002601221,2M05415064-6022530,05415064-6022530,2mass
170115002701133,2M06530701-6109243,06530701-6109243,2mass
140707000601083,2M16001836-2043511,16001836-2043511,2mass
161213003601337,2M05030009-6118377,05030009-6118377,2mass
160108002001063,2M03575796+2438377,03575796+2438377,2mass
201005002101147,2M22345944-0940080,22345944-0940080,2mass
140117001501065,2M06042270+0702374,06042270+0702374,2mass
131217004401083,2M08512156+1146061,08512156+1146061,2mass
170603007701294,2M22100965-1015403,22100965-1015403,2mass
171227003601211,2M05443794-6445377,05443794-6445377,2mass
170111001601304,2M07203942-6539321,07203942-6539321,2mass
170418001601004,2M09524471-3947412,09524471-3947412,2mass
140708005301318,2M22124547-0604469,22124547-0604469,2mass
161218003601153,2M04442111-6401395,04442111-6401395,2mass
200803004801123,2M23274665-0157071,23274665-0157071,2mass
160401005401198,2M17203403-2404109,17203403-2404109,2mass
161219002601117,2M04455314-7136456,04455314-7136456,2mass
150427002801124,2M15584159-2622432,15584159-2622432,2mass
170109003301068,2M07375510-6109028,07375510-6109028,2mass
160923003701338,2M03362651+2308092,03362651+2308092,2mass
170509003701359,2M17102850-2413549,17102850-2413549,2mass
170202001201274,2M06205409-5418395,06205409-5418395,2mass
171228002101026,2M05434720-6644121,05434720-6644121,2mass
140713001901306,2M16132442-2509433,16132442-2509433,2mass
171205003101271,2M06143567-5559359,06143567-5559359,2mass
151109003601165,2M06435956-2600053,06435956-2600053,2mass
170202000701053,2M06322621-7455046,06322621-7455046,2mass
180101002601352,2M05213286-6553329,05213286-6553329,2mass
170108002701280,2M07083277-5929135,07083277-5929135,2mass
170113002601277,2M05462289-5956213,05462289-5956213,2mass
160403004201176,2M13220033-1647570,13220033-1647570,2mass
170109004301224,2M07115207-6957333,07115207-6957333,2mass
170219002601037,2M06273206-6643006,06273206-6643006,2mass
160531005101333,2M22011256-1226407,22011256-1226407,2mass
200529003801251,2M12390813-0123134,12390813-0123134,2mass
170506005901276,2M19102577-2249078,19102577-2249078,2mass
161218002101288,2M04371714-6645347,04371714-6645347,2mass
160513001101342,2M12091003-5049059,12091003-5049059,2mass
171104003301154,2M07254098+0342001,07254098+0342001,2mass
170220002101338,2M06052922-6544192,06052922-6544192,2mass
151111002601341,2M03315520+1926158,03315520+1926158,2mass
161106002101332,2M23521292-0350575,23521292-0350575,2mass
170130003601233,2M06154771-6039406,06154771-6039406,2mass
170108003301032,2M07373676-6354068,07373676-6354068,2mass
170115002701360,2M07001631-6033192,07001631-6033192,2mass
161218003101188,2M04330773-5907281,04330773-5907281,2mass
131217004401366,2M08514235+1151230,08514235+1151230,2mass
191106003301271,2M02144300-7322582,02144300-7322582,2mass
131216001601108,2M06425158-0113010,06425158-0113010,2mass
140314005201383,2M13304466-4717461,13304466-4717461,2mass
151111001601358,2M22383913-0457424,22383913-0457424,2mass
160106001601181,2M03435880+2352578,03435880+2352578,2mass
170130003101180,2M06254002-5728593,06254002-5728593,2mass
160401005401071,2M17223157-2426079,17223157-2426079,2mass
170114003601398,2M07030969-5859297,07030969-5859297,2mass
170203001901085,2M06163119-6346386,06163119-6346386,2mass
180101003601222,2M05143164-7343492,05143164-7343492,2mass
170130003601011,2M06275976-6109372,06275976-6109372,2mass
160401002101071,2M08405252+1928595,08405252+1928595,2mass
171208003101108,2M06020865-5706088,06020865-5706088,2mass
170130003601021,2M06242495-6109306,06242495-6109306,2mass
160401002101249,2M08400062+1948235,08400062+1948235,2mass
160108002001084,2M03573726+2425332,03573726+2425332,2mass
161228002501014,2M08295494+1646492,08295494+1646492,2mass
160108002001253,2M03563618+2509342,03563618+2509342,2mass
151008002101028,2M19350384-2753159,19350384-2753159,2mass
150603004801333,2M22271694-1050384,22271694-1050384,2mass
200803005801114,2M23185887-0345203,23185887-0345203,2mass
170115002701177,2M06460962-6127365,06460962-6127365,2mass
160403004201043,2M13263172-1657057,13263172-1657057,2mass
161104004801089,2M06271176-1539551,06271176-1539551,2mass
170130003601070,2M06234016-6142419,06234016-6142419,2mass
210125002201019,2M07280454-2613028,07280454-2613028,2mass
151008004001247,2M04213214+1845443,04213214+1845443,2mass
170220002101037,2M06034782-6646437,06034782-6646437,2mass
170110002101006,2M07044989-6702516,07044989-6702516,2mass
161219003101324,2M04564508-5856091,04564508-5856091,2mass
160401002101130,2M08395234+1918455,08395234+1918455,2mass
170109003801326,2M07252667-6727106,07252667-6727106,2mass
210711004401341,2M23255608-0834284,23255608-0834284,2mass
230206002101248,2M06391869-0146081,06391869-0146081,2mass
170114002601237,2M05354912-5825244,05354912-5825244,2mass
161219003601143,2M05480810-7454393,05480810-7454393,2mass
230103002101122,2M05541919+0731361,05541919+0731361,2mass
170107002101094,2M05023476-7314063,05023476-7314063,2mass
170130003601066,2M06231925-6130459,06231925-6130459,2mass
171031003301012,2M06180974-1847039,06180974-1847039,2mass
170108002701146,2M07052299-6059254,07052299-6059254,2mass
210202003201081,2M15205688-4211054,15205688-4211054,2mass
210801001601375,2M16254515-2620462,16254515-2620462,2mass
171208003101314,2M06031813-5611576,06031813-5611576,2mass
150831004001091,2M22324760-1737105,22324760-1737105,2mass
200529001801277,2M12054999+0008024,12054999+0008024,2mass
170112003101041,2M07134647-7220475,07134647-7220475,2mass
140707003101275,2M22275495-0638229,22275495-0638229,2mass
170107004801292,2M07110156-7356307,07110156-7356307,2mass
131217004401313,2M08512175+1152378,08512175+1152378,2mass
200824001301370,2M23143318-0024085,23143318-0024085,2mass
161008003501022,2M00524329+0534433,00524329+0534433,2mass
161115002701389,2M04495365-6615486,04495365-6615486,2mass
140413004901090,2M16355614-3005335,16355614-3005335,2mass
170219002601204,2M06105380-6608140,06105380-6608140,2mass
170115002201225,2M04533232-6901174,04533232-6901174,2mass
161218003601045,2M04544296-6358116,04544296-6358116,2mass
201005002101364,2M22355222-0859590,22355222-0859590,2mass
140710006101116,2M22171341-1315384,22171341-1315384,2mass
161228002501370,2M08294488+1703286,08294488+1703286,2mass
161213003601007,2M05061863-6157415,05061863-6157415,2mass
170115002701370,2M07010188-6041340,07010188-6041340,2mass
131217003901301,2M08511897+1158110,08511897+1158110,2mass
171228001601255,2M05502352+0043412,05502352+0043412,2mass
131217003901339,2M08513577+1153347,08513577+1153347,2mass
170112001601338,2M05083795-6355120,05083795-6355120,2mass
