filename,fits_file,hip,instrument,url,status
HIP12114_UVES_1_R42KNorm.fits.gz,HIP12114_UVES_1_R42KNorm.fits,HIP12114,UVES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12114_UVES_1_R42KNorm.fits.gz,downloaded
HIP12486_HARPS_1_R42KNorm.fits.gz,HIP12486_HARPS_1_R42KNorm.fits,HIP12486,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12486_HARPS_1_R42KNorm.fits.gz,downloaded
HIP12530_HERMES_1_R42KNorm.fits.gz,HIP12530_HERMES_1_R42KNorm.fits,HIP12530,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12530_HERMES_1_R42KNorm.fits.gz,downloaded
HIP12777_NARVAL_1_R42KNorm.fits.gz,HIP12777_NARVAL_1_R42KNorm.fits,HIP12777,NARVAL,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP12777_NARVAL_1_R42KNorm.fits.gz,downloaded
HIP13288_HARPS_1_R42KNorm.fits.gz,HIP13288_HARPS_1_R42KNorm.fits,HIP13288,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP13288_HARPS_1_R42KNorm.fits.gz,downloaded
HIP13288_HERMES_1_R42KNorm.fits.gz,HIP13288_HERMES_1_R42KNorm.fits,HIP13288,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP13288_HERMES_1_R42KNorm.fits.gz,downloaded
HIP13328_HERMES_1_R42KNorm.fits.gz,HIP13328_HERMES_1_R42KNorm.fits,HIP13328,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP13328_HERMES_1_R42KNorm.fits.gz,downloaded
HIP14060_HARPS_1_R42KNorm.fits.gz,HIP14060_HARPS_1_R42KNorm.fits,HIP14060,HARPS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14060_HARPS_1_R42KNorm.fits.gz,downloaded
HIP14060_HERMES_1_R42KNorm.fits.gz,HIP14060_HERMES_1_R42KNorm.fits,HIP14060,HERMES,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14060_HERMES_1_R42KNorm.fits.gz,downloaded
HIP14086_ESPADONS_1_R42KNorm.fits.gz,HIP14086_ESPADONS_1_R42KNorm.fits,HIP14086,ESPADONS,https://blancocuaresma.com/s/repository/gaia_benchmark_stars_library/2025/all/HIP14086_ESPADONS_1_R42KNorm.fits.gz,downloaded
