sobject_id,teff,logg,fe_h,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4
140713001901306,4706.947,2.449055,-0.17157435,105.36613,150.42874,212.36699,199.26825
151230002201120,6017.502,3.8981092,0.0034645572,105.363815,133.67233,157.2996,134.05498
160919005101206,4814.643,4.619397,-0.21255016,105.35872,158.03545,213.42137,206.37415
151225004301247,5871.3315,4.267882,-0.3174208,105.35288,128.04527,154.56158,133.32236
160916004301172,5886.4277,4.360755,-0.44249982,105.35142,121.16062,135.96893,121.11083
171227003601162,5539.6196,3.862449,-0.15257308,105.35061,159.55756,204.15001,203.82031
170510003801073,5991.705,3.8321981,0.033741824,105.34775,134.4719,172.61069,151.1363
170829001901319,6191.3447,4.2317414,-0.28449944,105.34724,127.013664,155.13599,124.73756
160130006301030,4559.957,2.6166503,0.09862319,105.32769,170.6742,240.85881,238.85597
150830002301072,4817.884,2.476448,-0.12870991,105.32275,157.8592,211.48573,205.03648
150707003201330,4540.3374,1.3280855,-1.7388177,105.32229,158.89421,236.0292,229.50931
210513004001201,5528.776,4.4827714,0.18356189,105.31584,139.68579,195.20035,143.20636
161210004201398,6151.0903,4.217619,-0.1665765,105.30444,122.37564,161.76282,124.26737
171027002801204,5104.112,3.8862653,0.19227183,105.28885,141.36365,183.13406,162.70685
140312002701085,6521.9536,4.0824633,-0.2056391,105.28653,143.45184,182.28569,147.59976
140312002701310,5768.131,4.148174,0.104174,105.28535,140.31335,202.7652,151.27844
171206004601082,4866.7817,2.5031352,-0.16885215,105.28109,149.95949,192.26537,167.05208
151231002601071,6521.6475,4.2867675,0.018839113,105.278564,122.84594,137.6571,116.55414
161219004601363,6530.7046,4.171138,-0.12962246,105.27786,113.099014,143.59468,101.71624
160817001601138,5023.9595,2.6691456,0.040187128,105.27734,114.88799,104.206985,185.52869
160919005101245,5740.3086,3.9008086,0.014443878,105.26925,135.29103,165.89224,150.79622
151109003601180,4736.013,2.52882,0.16849071,105.26442,166.71243,215.50374,222.66026
161115002101013,4860.7285,2.3717003,-0.5011969,105.26344,159.89343,233.25243,198.13078
150207004601232,5436.1167,3.8495998,0.017777868,105.2582,137.25778,180.39833,154.25172
161117003501091,6348.402,4.20872,-0.043442637,105.25736,135.3336,164.53624,144.67128
151009001601333,4826.6235,2.5167775,-0.06001609,105.25646,156.88521,222.32892,205.6436
180126002101211,6225.873,3.4619193,-0.0817344,105.25414,139.80507,169.99937,147.6011
160422002001351,5760.624,4.4418445,0.14320627,105.25176,115.12881,145.25082,119.51422
180623002501043,4865.4517,2.52898,-0.1373147,105.251114,158.84943,210.2732,186.54196
171205004601286,5894.3164,4.081849,0.105377674,105.24987,128.86365,160.15941,136.07785
230803001601212,4586.371,2.423263,0.19763133,105.24921,154.06334,253.60855,194.14864
161216001801358,5878.2153,4.338704,-0.0029265136,105.243256,125.20987,142.22244,117.01152
220215002601141,5716.8003,3.9211645,-0.16408676,105.240654,146.96935,189.32745,162.6121
170215003601238,6569.2437,4.227102,-0.53468436,105.23783,122.79923,147.93852,123.688416
160330002101159,6235.3823,3.7730784,-0.30514392,105.23468,131.5388,145.26851,126.28202
161210003401364,6012.3374,4.1077485,-0.36724275,105.23165,130.38123,175.60385,150.24185
210919001601143,4856.3486,3.2887816,0.07954471,105.223854,167.90741,229.36777,203.08994
161209001601106,4772.9805,2.471627,-0.1056725,105.21484,157.32526,215.1343,184.65085
160814002201049,5756.7524,4.100146,-0.14922965,105.210686,137.64143,176.299,157.01964
170604001601331,6755.8086,3.729124,-0.14403749,105.208305,118.0938,134.69003,106.80856
171029003301328,5504.089,4.4934907,0.023909327,105.201805,139.4115,178.34833,156.82887
200903001601114,4369.4214,2.114208,-0.012252867,105.19555,181.81584,269.6485,257.28113
170910002101111,4945.844,3.1047494,-0.4479872,105.19417,150.28262,194.68951,178.28015
170413006101044,4853.915,2.5365183,0.07003538,105.19068,153.80197,204.5715,180.6163
191106002301269,6547.286,3.9578738,-0.417918,105.180504,126.04351,163.67267,114.37996
170114005801308,6198.124,3.8889701,0.106447585,105.17716,122.1586,160.00938,51.7256
170118003301225,5391.741,4.4650645,-0.14266288,105.176674,139.85992,190.1022,163.94942
170602002201180,5041.3047,3.1176097,-0.7157877,105.17362,142.20003,173.83504,173.33119
201004002101074,5695.239,3.9004292,-0.24206007,105.16407,144.60408,186.5664,159.25623
201006001601094,6436.9077,4.177527,-0.034082294,105.156105,138.14626,169.72643,138.3903
160523003001354,5073.842,2.9307735,0.07725088,105.15567,154.0219,221.52632,198.21225
170416005801336,6275.7505,4.249963,0.014411364,105.151535,123.760864,152.37865,125.51779
150429001101104,6162.3203,3.8816879,-0.14346871,105.150856,134.38812,161.89789,140.25194
210923001601209,4862.791,2.4853408,-0.21443704,105.14251,165.74164,255.28105,210.98108
170109003801326,4816.3506,2.4625535,-0.017815694,105.130424,145.34073,200.76718,186.9406
170513005401308,4462.02,2.2474368,-0.20107391,105.12037,151.12518,202.98555,196.09601
170509006701155,6845.199,3.451356,-0.29487276,105.119125,146.78563,175.76125,168.00816
160331003201364,4789.2925,4.408079,0.22354913,105.11413,151.9141,218.86337,190.08061
170507010601315,6255.0244,3.8765235,-0.41422653,105.10255,139.3216,182.3376,165.77042
170507006201316,5968.298,4.170253,-0.08911244,105.10239,125.34403,153.11226,122.88127
160110002101224,6485.0864,4.1773067,-0.22594383,105.09966,120.646416,144.75667,112.68096
160815002101023,4837.946,2.5522535,0.02576594,105.09966,175.97292,264.8695,258.11993
170515001601107,5682.5596,4.438597,-0.13764316,105.0924,137.70772,168.06093,145.63185
170514001601031,6237.6167,3.7256417,-0.03177166,105.085434,147.55743,184.6915,153.73822
221103001601174,5611.1743,4.316987,0.21785107,105.0817,159.52126,213.07231,180.01294
151227005201302,4991.767,2.9148102,0.12188521,105.081604,151.47295,212.83919,196.57947
171027001601004,5777.9194,4.157815,-0.26882604,105.081,132.53786,162.80515,142.99402
220415004101024,4806.542,2.5724542,0.11526762,105.07737,163.84392,216.65631,188.7078
170603006601285,6004.3486,4.256308,0.0070582777,105.07688,127.84478,160.6463,127.431854
150427002801089,5975.752,3.840668,-0.29200035,105.07558,133.51262,157.8357,143.07088
230101002801140,6050.883,4.2231846,-0.12277872,105.07544,130.41504,156.68835,119.430435
170130002601277,4264.383,1.7463762,-0.2465075,105.072876,176.51006,261.20963,267.02234
210126002701258,6775.024,4.155947,-0.16209453,105.06508,133.8205,178.2447,131.89287
161105003601389,5299.66,3.2452538,-0.18317428,105.064926,135.48686,189.14651,155.34906
151230002201116,4586.8794,2.416767,0.13131036,105.06141,165.67993,220.74245,210.35081
170207003801360,4627.868,2.4508996,-0.34411618,105.059105,165.11775,263.25717,207.20613
210726001601126,5526.618,3.6925342,0.22164169,105.05721,152.15485,206.73805,181.64294
170912001901062,4700.769,2.7426841,-0.1660206,105.056946,151.94893,195.52148,180.48376
170604006101068,6344.3804,4.2016454,-0.005419515,105.056015,123.42856,148.82109,123.02553
170507006201225,6099.4385,3.8464065,0.009068843,105.05388,123.93271,145.59329,129.18875
230312003101176,4850.7065,2.5218272,-0.06221036,105.04854,165.2791,240.9968,222.20692
170108001601138,6509.4927,4.1655264,-0.11278216,105.04795,126.939316,150.91278,134.13557
140312001701082,6139.2817,3.9333808,-0.109220035,105.044716,135.38109,164.59735,132.46968
160422002501063,6178.4873,4.030402,-0.4120853,105.03794,126.900314,152.13849,127.76114
210921001601145,5030.721,2.918582,0.10299133,105.03766,164.37175,195.20148,212.67934
170513005901113,4739.721,2.3729122,-0.5209623,105.03502,162.82642,218.9194,207.83136
200903001601118,5073.8877,3.2167528,-0.54767114,105.02821,162.6601,226.85333,204.85927
160401004901023,4989.3164,3.2893538,-0.39780885,105.02164,145.89581,189.72366,174.25285
170603001601320,6155.7017,3.699351,-0.13337901,105.01928,127.56493,157.57588,135.25026
200901003101399,5859.688,3.9240482,0.11805558,105.0189,125.84156,176.3703,120.025826
200802000101333,5703.8984,4.455431,0.09910397,105.01743,142.77496,197.89714,143.55243
190224001601312,6203.089,4.1221137,-0.52368414,105.00757,136.43422,196.08965,147.75539
200831002101041,4787.202,2.4664514,-0.07549284,105.007286,164.87105,220.70569,211.42017
170206006201018,4851.574,2.8230975,-0.13796884,104.99899,155.99506,208.66777,195.62862
170513005901107,4587.378,2.3453948,-0.2421115,104.998634,155.26888,208.41003,188.44963
171228002701282,5520.4253,4.145743,-0.12287425,104.99673,133.29327,163.71317,135.91676
160123002101082,5716.1973,4.2094374,-0.4138905,104.99601,138.79811,167.76822,150.57188
210916001601132,4613.3447,2.3232486,-0.048499823,104.99252,182.55565,267.1372,255.26537
150411006601385,5832.155,4.025344,-0.014416181,104.9917,143.80779,199.09724,177.3684
160519006501031,6035.33,3.8012462,-0.35104814,104.98918,132.43034,159.2753,143.10611
150427002801242,6530.166,4.214672,0.06809434,104.985725,123.33171,150.37718,124.08823
151230002201064,6633.679,4.1090817,-0.27132586,104.98165,125.13108,143.47736,114.01623
161218001601393,5396.202,4.5170527,-0.10918637,104.96968,137.84982,193.50525,152.39398
170510007801220,4879.571,2.6591773,0.041560568,104.967316,152.59834,205.47258,188.75877
140609002101135,5729.2812,4.216013,-0.6464633,104.96418,140.00304,178.62276,167.65791
170912001901375,6927.5537,4.149954,-0.16658518,104.95894,124.78228,150.941,118.49025
190614005601104,4996.4272,3.4676697,-0.20802468,104.95657,158.75212,215.07579,189.16275
170507011101260,5676.516,4.1718163,-0.1958277,104.954,129.06647,155.3956,136.53014
200825001101071,4636.8,2.2193298,-0.058995284,104.95372,168.75897,235.70612,227.11755
221108001301336,6057.62,4.0553503,0.10898645,104.95175,130.60277,175.87314,125.20838
170906001601132,4984.2554,2.9272714,0.1301571,104.943306,155.6893,205.99358,198.81749
160403004701241,4612.688,2.4293678,0.14866008,104.943085,161.62462,225.23102,206.53769
200514002201271,4688.828,2.4118462,-0.14763498,104.93704,169.08665,271.62607,225.1605
170113002601211,4811.462,2.7659092,-0.5241681,104.93357,144.2968,192.56781,179.1902
171205004601278,5713.7554,4.246346,-0.04631184,104.93312,138.12003,176.34738,149.5995
151219001601078,5712.128,4.4715695,-0.027145125,104.90878,128.01044,153.21289,131.60446
161210003401103,5643.4165,4.2572646,-0.25333312,104.906715,141.63821,179.38612,160.00244
171230004101122,5773.3096,4.2694592,0.13058987,104.89668,142.00021,179.0918,151.42184
220807001601307,4525.0854,1.9769884,-0.2495299,104.89435,157.55872,240.38875,194.87288
150411005101178,5191.457,4.4854283,-0.07898704,104.88098,144.71051,178.9308,168.18376
170805001601209,4926.568,2.563484,0.040598106,104.874405,171.68524,248.17937,232.71826
230511002201330,5711.9663,4.302789,-0.13705605,104.87399,137.95065,201.42905,140.25082
191109002201336,5386.232,4.5044155,-0.35412934,104.87271,134.89267,186.91072,134.92065
160331005801009,5140.4136,2.8666546,-0.05301799,104.870125,161.1614,212.37457,197.18044
161219004101180,6407.6943,3.8297696,-0.2259067,104.86612,140.01564,162.01418,160.37189
161212002601344,4964.822,3.0177631,-0.27971157,104.866,144.47295,198.02312,171.0109
161211003101235,6312.1045,3.8976147,-0.052108347,104.86539,115.93015,133.96321,108.593056
160522002101297,4863.5376,2.5145528,-0.10818409,104.86061,153.45827,208.79678,188.8717
161106003101098,5981.4307,4.137862,-0.09206582,104.85903,124.17903,151.72404,131.7781
170112002601183,5096.79,2.6140811,-0.044700406,104.85903,152.43398,195.56018,191.19221
170517002801341,4878.5166,2.619715,0.113886535,104.84811,146.38293,195.73561,176.41356
150707002001346,4855.177,2.4360454,-0.99133813,104.84714,159.5724,238.07861,236.08665
170912001901073,6456.6104,4.160152,-0.16502512,104.835106,122.431015,139.2106,114.40579
161117003001141,6060.4785,4.3387036,-0.14635983,104.82849,130.08405,150.40872,143.42209
151226002701330,5774.0396,4.44472,-0.20825315,104.81971,139.94763,185.04422,160.30753
161120002401056,4848.918,2.8550918,-0.37499475,104.81758,160.28355,225.42035,203.46187
230805002001110,4881.701,2.5159087,-0.070588104,104.81384,203.47003,321.13913,313.3501
161106003601075,5502.136,4.528659,-0.1677593,104.81341,133.75436,172.51456,147.23245
160513002601189,6205.1885,4.0453625,-0.09422123,104.81334,120.93239,129.06682,106.5213
171102005001314,4140.6504,1.3471687,-0.407034,104.80938,195.08481,296.5295,292.7391
170615003401134,4633.796,2.582103,0.011322405,104.80543,181.32185,266.22595,275.66107
221103002601118,6272.199,3.8785944,-0.261956,104.80436,135.75368,165.3112,133.55635
